2025-07-21 23:49:50,239 - Drowsiness detected
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.813690
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.907443
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.998757
INFO:root:Drowsiness detected at 2025-07-22 11:21:59.088265
INFO:root:Drowsiness detected at 2025-07-22 11:21:59.177670
INFO:root:Drowsiness detected at 2025-07-22 11:21:59.267288
INFO:root:Drowsiness detected at 2025-07-22 11:21:59.357735
INFO:root:Drowsiness detected at 2025-07-22 11:21:59.448631
INFO:root:Drowsiness detected at 2025-07-22 11:21:59.536087
INFO:root:Drowsiness detected at 2025-07-22 11:21:59.625640
INFO:root:Drowsiness detected at 2025-07-22 11:21:59.714524
INFO:root:Drowsiness detected at 2025-07-22 11:26:20.784534
INFO:root:Drowsiness detected at 2025-07-22 11:26:21.034025
INFO:root:Drowsiness detected at 2025-07-22 11:26:21.122920
INFO:root:Drowsiness detected at 2025-07-22 11:26:21.211194
INFO:root:Drowsiness detected at 2025-07-22 11:26:21.301099
INFO:root:Drowsiness detected at 2025-07-22 11:26:21.390983
INFO:root:Drowsiness detected at 2025-07-22 11:26:21.481707
INFO:root:Drowsiness detected at 2025-07-22 11:26:21.569993
INFO:root:Drowsiness detected at 2025-07-22 11:26:21.658212
INFO:root:Drowsiness detected at 2025-07-22 11:27:05.283166
INFO:root:Drowsiness detected at 2025-07-22 11:27:05.375698
INFO:root:Drowsiness detected at 2025-07-22 11:27:05.466036
INFO:root:Drowsiness detected at 2025-07-22 11:27:05.554576
INFO:root:Drowsiness detected at 2025-07-22 11:27:05.642280
INFO:root:Drowsiness detected at 2025-07-22 11:27:05.733181
INFO:root:Drowsiness detected at 2025-07-22 11:27:05.820816
INFO:root:Drowsiness detected at 2025-07-22 11:27:05.908684
INFO:root:Drowsiness detected at 2025-07-22 11:27:59.970551
INFO:root:Drowsiness detected at 2025-07-22 11:28:00.067012
INFO:root:Drowsiness detected at 2025-07-22 11:28:00.157832
INFO:root:Drowsiness detected at 2025-07-22 11:28:00.249900
INFO:root:Drowsiness detected at 2025-07-22 11:28:00.342602
INFO:root:Drowsiness detected at 2025-07-22 11:28:00.433217
INFO:root:Drowsiness detected at 2025-07-22 11:28:00.522428
INFO:root:Drowsiness detected at 2025-07-22 11:28:00.610848
INFO:root:Drowsiness detected at 2025-07-22 11:29:13.865249
INFO:root:Drowsiness detected at 2025-07-22 11:29:13.959683
INFO:root:Drowsiness detected at 2025-07-22 11:29:14.048670
INFO:root:Drowsiness detected at 2025-07-22 11:29:14.139157
INFO:root:Drowsiness detected at 2025-07-22 11:29:14.229376
INFO:root:Drowsiness detected at 2025-07-22 11:29:14.318783
INFO:root:Drowsiness detected at 2025-07-22 11:29:14.407407
INFO:root:Drowsiness detected at 2025-07-22 11:29:36.615711
INFO:root:Drowsiness detected at 2025-07-22 11:29:36.708176
INFO:root:Drowsiness detected at 2025-07-22 11:29:36.798777
INFO:root:Drowsiness detected at 2025-07-22 11:29:36.893539
INFO:root:Drowsiness detected at 2025-07-22 11:29:36.984911
INFO:root:Drowsiness detected at 2025-07-22 11:29:37.075668
INFO:root:Drowsiness detected at 2025-07-22 11:29:37.168448
INFO:root:Drowsiness detected at 2025-07-22 11:29:37.261830
INFO:root:Drowsiness detected at 2025-07-22 11:29:37.354868
INFO:root:Drowsiness detected at 2025-07-22 11:29:37.459507
INFO:root:Drowsiness detected at 2025-07-22 11:29:37.557723
INFO:root:Drowsiness detected at 2025-07-22 11:29:37.651437
INFO:root:Drowsiness detected at 2025-07-22 11:30:30.353164
INFO:root:Drowsiness detected at 2025-07-22 11:30:30.441177
INFO:root:Drowsiness detected at 2025-07-22 11:30:30.532775
INFO:root:Drowsiness detected at 2025-07-22 11:30:30.622597
INFO:root:Drowsiness detected at 2025-07-22 11:30:30.712808
INFO:root:Drowsiness detected at 2025-07-22 11:30:30.802190
INFO:root:Drowsiness detected at 2025-07-22 11:30:30.892298
INFO:root:Drowsiness detected at 2025-07-22 11:30:30.987936
INFO:root:Drowsiness detected at 2025-07-22 11:30:31.080316
INFO:root:Drowsiness detected at 2025-07-22 11:30:31.228171
INFO:root:Drowsiness detected at 2025-07-22 11:30:31.321596
INFO:root:Drowsiness detected at 2025-07-22 11:30:35.898643
INFO:root:Drowsiness detected at 2025-07-22 11:30:35.990637
INFO:root:Drowsiness detected at 2025-07-22 11:30:36.085484
INFO:root:Drowsiness detected at 2025-07-22 11:30:36.175869
INFO:root:Drowsiness detected at 2025-07-22 11:31:03.434311
INFO:root:Drowsiness detected at 2025-07-22 11:31:03.531347
INFO:root:Drowsiness detected at 2025-07-22 11:31:03.621769
INFO:root:Drowsiness detected at 2025-07-22 11:31:03.710953
INFO:root:Drowsiness detected at 2025-07-22 11:40:35.175583
INFO:root:Drowsiness detected at 2025-07-22 11:40:35.779724
INFO:root:Drowsiness detected at 2025-07-22 11:40:57.862353
INFO:root:Drowsiness detected at 2025-07-22 11:40:57.955091
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.047058
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.145940
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.241638
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.335032
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.433268
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.536642
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.629051
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.739350
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.846735
INFO:root:Drowsiness detected at 2025-07-22 11:40:58.963400
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.063244
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.168643
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.274727
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.375762
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.467302
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.575902
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.676121
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.786046
INFO:root:Drowsiness detected at 2025-07-22 11:40:59.889619
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.001533
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.128937
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.240182
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.344309
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.451972
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.566377
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.670646
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.787351
